locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDGAGDLB_03444	CDS	333	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
FDGAGDLB_03445	CDS	495	rsh_1	2.7.6.5		GTP pyrophosphokinase rsh
FDGAGDLB_03446	CDS	1686	rsh_2	2.7.6.5	COG0317	GTP pyrophosphokinase rsh
FDGAGDLB_03447	CDS	711				hypothetical protein
FDGAGDLB_03448	CDS	753	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
FDGAGDLB_03449	CDS	396	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
FDGAGDLB_03450	CDS	735	lepB	3.4.21.89	COG0681	Signal peptidase I
FDGAGDLB_03451	CDS	594	rnc	3.1.26.3	COG0571	Ribonuclease 3
FDGAGDLB_03452	CDS	129				hypothetical protein
FDGAGDLB_03453	CDS	939	era		COG1159	GTPase Era
FDGAGDLB_03454	CDS	231				hypothetical protein
FDGAGDLB_03455	CDS	168				hypothetical protein
FDGAGDLB_03456	CDS	756	recO			DNA repair protein RecO
FDGAGDLB_03457	CDS	2244	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
FDGAGDLB_03458	CDS	546				hypothetical protein
FDGAGDLB_03459	CDS	1374	dctM_15		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
FDGAGDLB_03460	CDS	1095			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
FDGAGDLB_03461	CDS	756	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
FDGAGDLB_03462	CDS	954	motB_2		COG1360	Motility protein B
FDGAGDLB_03463	CDS	855	motA		COG1291	Motility protein A
FDGAGDLB_03464	CDS	483	C1-hpah	1.5.1.36		p-hydroxyphenylacetate 3-hydroxylase, reductase component
FDGAGDLB_03465	CDS	1221	tdcB_2	4.3.1.19	COG1171	L-threonine ammonia-lyase
FDGAGDLB_03466	CDS	1488	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
FDGAGDLB_03467	CDS	1167	ldc	4.1.1.17		Lysine/ornithine decarboxylase
FDGAGDLB_03468	CDS	1557	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FDGAGDLB_03469	CDS	159				hypothetical protein
FDGAGDLB_03470	CDS	963				hypothetical protein
FDGAGDLB_03471	CDS	1002	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
FDGAGDLB_03472	CDS	1197	ybjJ			Inner membrane protein YbjJ
FDGAGDLB_03473	CDS	390				hypothetical protein
FDGAGDLB_03474	CDS	294	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
FDGAGDLB_03475	CDS	1287		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
FDGAGDLB_03476	CDS	1140	acdA_3	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
FDGAGDLB_03477	CDS	1095	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
FDGAGDLB_03478	CDS	891	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
FDGAGDLB_03479	CDS	192				hypothetical protein
FDGAGDLB_03480	CDS	924	livH_6		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FDGAGDLB_03481	CDS	1521				hypothetical protein
FDGAGDLB_03482	CDS	858	artM		COG1126	Arginine transport ATP-binding protein ArtM
FDGAGDLB_03483	CDS	717	livF_6		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FDGAGDLB_03484	CDS	354				hypothetical protein
FDGAGDLB_03485	CDS	1107			COG0683	Leu/Ile/Val-binding protein 
FDGAGDLB_03486	CDS	420	ros		COG4957	Transcriptional regulatory protein ros
FDGAGDLB_03487	CDS	435	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
FDGAGDLB_03488	CDS	1275	glyA2_2	2.1.2.1		Serine hydroxymethyltransferase 2
FDGAGDLB_03489	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
FDGAGDLB_03490	CDS	1122	ribD		COG0117	Riboflavin biosynthesis protein RibD
FDGAGDLB_03491	CDS	588	ribE	2.5.1.9		Riboflavin synthase
FDGAGDLB_03492	CDS	1155	ribBA_2		COG0108	Riboflavin biosynthesis protein RibBA
FDGAGDLB_03493	CDS	465	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
FDGAGDLB_03494	CDS	498	nusB		COG0781	Transcription antitermination protein NusB
FDGAGDLB_03495	CDS	975	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
FDGAGDLB_03496	CDS	459				hypothetical protein
FDGAGDLB_03497	CDS	651				hypothetical protein
FDGAGDLB_03498	CDS	579				hypothetical protein
FDGAGDLB_03499	CDS	1071	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
FDGAGDLB_03500	CDS	972	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
FDGAGDLB_03501	CDS	291	ihfA		COG0776	Integration host factor subunit alpha
FDGAGDLB_03502	CDS	471				hypothetical protein
FDGAGDLB_03503	tRNA	77				tRNA-Pro(ggg)
FDGAGDLB_03504	CDS	591				hypothetical protein
FDGAGDLB_03505	CDS	246				hypothetical protein
FDGAGDLB_03506	CDS	357	cutA		COG1324	Divalent-cation tolerance protein CutA
FDGAGDLB_03507	CDS	564	yciB		COG2917	Intracellular septation protein
FDGAGDLB_03508	CDS	1281	ispDF		COG0245	Bifunctional enzyme IspD/IspF
FDGAGDLB_03509	CDS	810				hypothetical protein
FDGAGDLB_03510	CDS	1011	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FDGAGDLB_03511	CDS	1146	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
FDGAGDLB_03512	CDS	1449	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
FDGAGDLB_03513	CDS	2265	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
FDGAGDLB_03514	CDS	1374	atoC_3		COG2204	Regulatory protein AtoC
FDGAGDLB_03515	CDS	1380	trkA		COG0569	Trk system potassium uptake protein TrkA
FDGAGDLB_03516	CDS	687	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
FDGAGDLB_03517	CDS	258	hfq		COG1923	RNA-binding protein Hfq
FDGAGDLB_03518	CDS	1380	hflX			GTPase HflX
FDGAGDLB_03519	CDS	822	cysQ_2	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
FDGAGDLB_03520	CDS	870	sbmC			DNA gyrase inhibitor
FDGAGDLB_03521	CDS	825	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
FDGAGDLB_03522	CDS	1506	ask	2.7.2.4	COG0527	Aspartate kinase Ask_Ect
FDGAGDLB_03523	CDS	402	ectC	4.2.1.108		L-ectoine synthase
FDGAGDLB_03524	CDS	1284	ectB	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate transaminase
FDGAGDLB_03525	CDS	549	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
FDGAGDLB_03526	CDS	477				hypothetical protein
FDGAGDLB_03527	CDS	1134				hypothetical protein
FDGAGDLB_03528	CDS	1683				hypothetical protein
FDGAGDLB_03529	CDS	1536				hypothetical protein
FDGAGDLB_03530	CDS	474				hypothetical protein
FDGAGDLB_03531	CDS	999				hypothetical protein
FDGAGDLB_03532	CDS	681	xynR		COG1414	HTH-type transcriptional regulator XynR
FDGAGDLB_03533	CDS	1218	uctC_2	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
FDGAGDLB_03534	CDS	849				hypothetical protein
FDGAGDLB_03535	CDS	1125				hypothetical protein
FDGAGDLB_03536	CDS	276	tctD_1		COG0745	Transcriptional regulatory protein tctD
FDGAGDLB_03537	CDS	450	tctD_2		COG0745	Transcriptional regulatory protein tctD
FDGAGDLB_03538	CDS	1419	sasA_12	2.7.-.-		Adaptive-response sensory-kinase SasA
FDGAGDLB_03539	CDS	1053	cytR_2		COG1609	HTH-type transcriptional repressor CytR
FDGAGDLB_03540	CDS	981				hypothetical protein
FDGAGDLB_03541	CDS	996	rbsB_2		COG1879	Ribose import binding protein RbsB
FDGAGDLB_03542	CDS	1077		1.1.1.384		dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
FDGAGDLB_03543	CDS	948	rbsB_3		COG1879	Ribose import binding protein RbsB
FDGAGDLB_03544	CDS	1518	rbsA_6	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
FDGAGDLB_03545	CDS	984	rbsC_7		COG1172	Ribose import permease protein RbsC
FDGAGDLB_03546	CDS	741	frcA_5	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
FDGAGDLB_03547	CDS	996	rbsC_8		COG1172	Ribose import permease protein RbsC
FDGAGDLB_03548	CDS	1275				hypothetical protein
FDGAGDLB_03549	CDS	1545				hypothetical protein
FDGAGDLB_03550	CDS	2223				hypothetical protein
FDGAGDLB_03551	CDS	492				hypothetical protein
FDGAGDLB_03552	CDS	6387				hypothetical protein
FDGAGDLB_03553	CDS	717				hypothetical protein
FDGAGDLB_03554	CDS	1293				hypothetical protein
FDGAGDLB_03555	CDS	798				hypothetical protein
FDGAGDLB_03556	CDS	2592				hypothetical protein
FDGAGDLB_03557	CDS	1020				hypothetical protein
FDGAGDLB_03558	CDS	774	rbn_3	3.1.26.11		Ribonuclease BN
FDGAGDLB_03559	CDS	819	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
FDGAGDLB_03560	CDS	1566	metG	6.1.1.10		Methionine--tRNA ligase
FDGAGDLB_03561	CDS	1110				hypothetical protein
FDGAGDLB_03562	CDS	657	tmk	2.7.4.9	COG0125	Thymidylate kinase
FDGAGDLB_03563	CDS	1173	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
FDGAGDLB_03564	CDS	1068	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
FDGAGDLB_03565	CDS	1005				Tn3 family transposase TnXax1
FDGAGDLB_03566	CDS	825				hypothetical protein
FDGAGDLB_03567	tRNA	90				tRNA-Ser(tga)
FDGAGDLB_03568	CDS	339				hypothetical protein
FDGAGDLB_03569	CDS	2241				hypothetical protein
FDGAGDLB_03570	CDS	975				hypothetical protein
FDGAGDLB_03571	CDS	252				hypothetical protein
FDGAGDLB_03572	CDS	738	occP_2			Octopine permease ATP-binding protein P
FDGAGDLB_03573	CDS	798	artI		COG0834	Putative ABC transporter arginine-binding protein 2
FDGAGDLB_03574	CDS	693	hisQ		COG4215	Histidine transport system permease protein HisQ
FDGAGDLB_03575	CDS	744	occM			Octopine transport system permease protein OccM
FDGAGDLB_03576	CDS	1140				hypothetical protein
FDGAGDLB_03577	CDS	834	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
FDGAGDLB_03578	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
FDGAGDLB_03579	CDS	690				hypothetical protein
FDGAGDLB_03580	CDS	1308	mfd_1	3.6.4.-	COG1197	Transcription-repair-coupling factor
FDGAGDLB_03581	CDS	2154	mfd_2	3.6.4.-	COG1197	Transcription-repair-coupling factor
FDGAGDLB_03582	CDS	273				hypothetical protein
FDGAGDLB_03583	CDS	2088	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
FDGAGDLB_03584	CDS	879				hypothetical protein
FDGAGDLB_03585	CDS	270				hypothetical protein
FDGAGDLB_03586	CDS	483				hypothetical protein
FDGAGDLB_03587	CDS	870	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
FDGAGDLB_03588	CDS	504				hypothetical protein
FDGAGDLB_03589	CDS	405				hypothetical protein
FDGAGDLB_03590	CDS	873				hypothetical protein
FDGAGDLB_03591	CDS	537	ssb		COG0629	Single-stranded DNA-binding protein
FDGAGDLB_03592	CDS	474	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
FDGAGDLB_03593	CDS	1071	ugpC_4	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
FDGAGDLB_03594	CDS	855	lacG			Lactose transport system permease protein LacG
FDGAGDLB_03595	CDS	879	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
FDGAGDLB_03596	CDS	1299	ugpB_2		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
FDGAGDLB_03597	CDS	858	ydcV_6			Inner membrane ABC transporter permease protein YdcV
FDGAGDLB_03598	CDS	882	potB_4		COG1176	Spermidine/putrescine transport system permease protein PotB
FDGAGDLB_03599	CDS	1110	btuD_10	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FDGAGDLB_03600	CDS	1092	potF_1		COG0687	Putrescine-binding periplasmic protein
FDGAGDLB_03601	CDS	1119	malK_7	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
FDGAGDLB_03602	CDS	849	ngcG_3		COG0395	Diacetylchitobiose uptake system permease protein NgcG
FDGAGDLB_03603	CDS	939				hypothetical protein
FDGAGDLB_03604	CDS	1263				hypothetical protein
FDGAGDLB_03605	CDS	888	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
FDGAGDLB_03606	CDS	882	gspK	2.7.1.8	COG2971	Glucosamine kinase GspK
FDGAGDLB_03607	CDS	762	nagR		COG2188	HTH-type transcriptional repressor NagR
FDGAGDLB_03608	CDS	1044	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FDGAGDLB_03609	CDS	1137	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
FDGAGDLB_03610	CDS	1068	iolX_2	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
FDGAGDLB_03611	CDS	1080	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
FDGAGDLB_03612	CDS	2895	uvrA			UvrABC system protein A
FDGAGDLB_03613	CDS	975				hypothetical protein
FDGAGDLB_03614	CDS	1347	trmFO	2.1.1.74		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
FDGAGDLB_03615	CDS	573				hypothetical protein
FDGAGDLB_03616	CDS	852				hypothetical protein
FDGAGDLB_03617	CDS	1173				hypothetical protein
FDGAGDLB_03618	CDS	1359				hypothetical protein
FDGAGDLB_03619	CDS	381				hypothetical protein
FDGAGDLB_03620	CDS	912	ribN_5			Riboflavin transporter
FDGAGDLB_03621	CDS	930	secF		COG0341	Protein translocase subunit SecF
FDGAGDLB_03622	CDS	1575	secD		COG0342	Protein translocase subunit SecD
FDGAGDLB_03623	CDS	390				hypothetical protein
FDGAGDLB_03624	CDS	459				hypothetical protein
FDGAGDLB_03625	CDS	450				hypothetical protein
FDGAGDLB_03626	CDS	1053	nlpD			Murein hydrolase activator NlpD
FDGAGDLB_03627	CDS	654	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
FDGAGDLB_03628	CDS	768	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
FDGAGDLB_03629	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
FDGAGDLB_03630	CDS	1002	tatC			Sec-independent protein translocase protein TatC
FDGAGDLB_03631	CDS	414	tatB			Sec-independent protein translocase protein TatB
FDGAGDLB_03632	CDS	237	tatA			Sec-independent protein translocase protein TatA
FDGAGDLB_03633	CDS	1044	potA_5	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FDGAGDLB_03634	CDS	771	scpB			Segregation and condensation protein B
FDGAGDLB_03635	CDS	873	scpA		COG1354	Segregation and condensation protein A
FDGAGDLB_03636	CDS	684				hypothetical protein
FDGAGDLB_03637	CDS	1071	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
FDGAGDLB_03638	CDS	888				hypothetical protein
FDGAGDLB_03639	CDS	1752	argS	6.1.1.19		Arginine--tRNA ligase
FDGAGDLB_03640	CDS	342	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
FDGAGDLB_03641	CDS	780	xthA_2	3.1.11.2	COG0708	Exodeoxyribonuclease III
FDGAGDLB_03642	CDS	669	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
FDGAGDLB_03643	CDS	1278				hypothetical protein
FDGAGDLB_03644	CDS	864	dat_2	2.6.1.21		D-alanine aminotransferase
FDGAGDLB_03645	CDS	609	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
FDGAGDLB_03646	CDS	1389	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
FDGAGDLB_03647	CDS	2667	valS	6.1.1.9	COG0525	Valine--tRNA ligase
FDGAGDLB_03648	CDS	654				hypothetical protein
FDGAGDLB_03649	CDS	1353	bepC			Outer membrane efflux protein BepC
FDGAGDLB_03650	CDS	144				hypothetical protein
FDGAGDLB_03651	CDS	324	moeZ_2		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
FDGAGDLB_03652	CDS	654	pcm_2	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
FDGAGDLB_03653	CDS	2445				hypothetical protein
FDGAGDLB_03654	tRNA	74				tRNA-Cys(gca)
FDGAGDLB_03655	tRNA	76				tRNA-Asn(gtt)
FDGAGDLB_03656	tRNA	76				tRNA-Asn(gtt)
FDGAGDLB_03657	CDS	318				hypothetical protein
FDGAGDLB_03658	CDS	2691	pat	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
FDGAGDLB_03659	CDS	438				hypothetical protein
FDGAGDLB_03660	CDS	1488				hypothetical protein
FDGAGDLB_03661	CDS	786				hypothetical protein
FDGAGDLB_03662	CDS	672				hypothetical protein
FDGAGDLB_03663	CDS	1449				hypothetical protein
FDGAGDLB_03664	CDS	735	cbiO_2	3.6.3.-	COG1122	Cobalt import ATP-binding protein CbiO
FDGAGDLB_03665	CDS	798	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
FDGAGDLB_03666	CDS	615				hypothetical protein
FDGAGDLB_03667	CDS	702	cbiM			Cobalt transport protein CbiM
FDGAGDLB_03668	CDS	798				hypothetical protein
FDGAGDLB_03669	CDS	543				hypothetical protein
FDGAGDLB_03670	CDS	1062	trpD_2	2.4.2.18		Anthranilate phosphoribosyltransferase
FDGAGDLB_03671	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
FDGAGDLB_03672	CDS	321	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
FDGAGDLB_03673	CDS	351				hypothetical protein
FDGAGDLB_03674	CDS	810				hypothetical protein
FDGAGDLB_03675	CDS	486				hypothetical protein
FDGAGDLB_03676	CDS	678				hypothetical protein
FDGAGDLB_03677	CDS	1188	rfnT_1			Riboflavin transporter RfnT
FDGAGDLB_03678	CDS	123				hypothetical protein
FDGAGDLB_03679	CDS	1938	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
FDGAGDLB_03680	CDS	717				hypothetical protein
FDGAGDLB_03681	CDS	468				hypothetical protein
FDGAGDLB_03682	CDS	396				hypothetical protein
FDGAGDLB_03683	CDS	1251				hypothetical protein
FDGAGDLB_03684	CDS	324				hypothetical protein
FDGAGDLB_03685	CDS	645	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
FDGAGDLB_03686	CDS	1458				hypothetical protein
FDGAGDLB_03687	CDS	762	iclR		COG1414	Transcriptional repressor IclR
FDGAGDLB_03688	CDS	813				hypothetical protein
FDGAGDLB_03689	CDS	1020				hypothetical protein
FDGAGDLB_03690	CDS	780				hypothetical protein
FDGAGDLB_03691	CDS	531	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
FDGAGDLB_03692	CDS	1953	acsA_4	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
FDGAGDLB_03693	CDS	1023	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
FDGAGDLB_03694	CDS	1197				hypothetical protein
FDGAGDLB_03695	CDS	1104	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
FDGAGDLB_03696	CDS	786	glnQ_3			Glutamine transport ATP-binding protein GlnQ
FDGAGDLB_03697	CDS	819	mkl_1		COG1127	putative ribonucleotide transport ATP-binding protein mkl
FDGAGDLB_03698	CDS	765	glpR_4		COG1349	Glycerol-3-phosphate regulon repressor
FDGAGDLB_03699	CDS	915	dmlR_15			HTH-type transcriptional regulator DmlR
FDGAGDLB_03700	CDS	1212				hypothetical protein
FDGAGDLB_03701	CDS	744	lptB_4	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FDGAGDLB_03702	CDS	711	livF_7		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FDGAGDLB_03703	CDS	888	livH_7		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FDGAGDLB_03704	CDS	987				hypothetical protein
FDGAGDLB_03705	CDS	1602	alkJ_3	1.1.99.-		Alcohol dehydrogenase [acceptor]
FDGAGDLB_03706	CDS	1341	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
FDGAGDLB_03707	CDS	807	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
FDGAGDLB_03708	CDS	414	cdd	3.5.4.5	COG0295	Cytidine deaminase
FDGAGDLB_03709	CDS	1023	tmpC_1		COG1744	Membrane lipoprotein TmpC
FDGAGDLB_03710	CDS	972				hypothetical protein
FDGAGDLB_03711	CDS	1119				hypothetical protein
FDGAGDLB_03712	CDS	1584	mglA_3	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
FDGAGDLB_03713	CDS	996	tmpC_2		COG1744	Membrane lipoprotein TmpC
FDGAGDLB_03714	CDS	1596	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
FDGAGDLB_03715	CDS	951	psuK	2.7.1.83	COG0524	Pseudouridine kinase
FDGAGDLB_03716	CDS	243				hypothetical protein
FDGAGDLB_03717	CDS	489				hypothetical protein
FDGAGDLB_03718	tRNA	93				tRNA-Ser(gct)
FDGAGDLB_03719	CDS	222				hypothetical protein
FDGAGDLB_03720	CDS	1176	rfnT_2			Riboflavin transporter RfnT
FDGAGDLB_03721	CDS	1029	cdhR_5		COG4977	HTH-type transcriptional regulator CdhR
FDGAGDLB_03722	CDS	1689				hypothetical protein
FDGAGDLB_03723	CDS	594				hypothetical protein
FDGAGDLB_03724	CDS	1689	pqiB		COG3008	Intermembrane transport protein PqiB
FDGAGDLB_03725	CDS	1341	pqiA		COG2995	Intermembrane transport protein PqiA
FDGAGDLB_03726	CDS	900	argP		COG0583	HTH-type transcriptional regulator ArgP
FDGAGDLB_03727	CDS	627	argO		COG1279	Arginine exporter protein ArgO
FDGAGDLB_03728	CDS	579	tdk	2.7.1.21	COG1435	Thymidine kinase
FDGAGDLB_03729	CDS	906	dmlR_16			HTH-type transcriptional regulator DmlR
FDGAGDLB_03730	CDS	681	hchA	3.5.1.124		Protein/nucleic acid deglycase HchA
FDGAGDLB_03731	CDS	1206	fsr			Fosmidomycin resistance protein
FDGAGDLB_03732	CDS	759	nimR_2			HTH-type transcriptional regulator NimR
FDGAGDLB_03733	CDS	555				hypothetical protein
FDGAGDLB_03734	CDS	549	gatB_1	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
FDGAGDLB_03735	CDS	951	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
FDGAGDLB_03736	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
FDGAGDLB_03737	CDS	291	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
FDGAGDLB_03738	CDS	1221				hypothetical protein
FDGAGDLB_03739	CDS	1566				hypothetical protein
FDGAGDLB_03740	CDS	1113				hypothetical protein
FDGAGDLB_03741	CDS	1101	potA_6	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FDGAGDLB_03742	CDS	537	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
FDGAGDLB_03743	CDS	816				hypothetical protein
FDGAGDLB_03744	CDS	924				hypothetical protein
FDGAGDLB_03745	CDS	981	pyrB	2.1.3.2		Aspartate carbamoyltransferase
FDGAGDLB_03746	CDS	1323	pyrC_2	3.5.2.3	COG0044	Dihydroorotase
FDGAGDLB_03747	CDS	669	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
FDGAGDLB_03748	CDS	1278				hypothetical protein
FDGAGDLB_03749	CDS	2643	topA	5.6.2.1		DNA topoisomerase 1
FDGAGDLB_03750	CDS	2445	rnr	3.1.13.1	COG0557	Ribonuclease R
FDGAGDLB_03751	CDS	783				hypothetical protein
FDGAGDLB_03752	CDS	381				hypothetical protein
FDGAGDLB_03753	CDS	1560				hypothetical protein
FDGAGDLB_03754	CDS	168	rpmG		COG0267	50S ribosomal protein L33
FDGAGDLB_03755	CDS	378				hypothetical protein
FDGAGDLB_03756	CDS	681			COG0664	Cyclic AMP receptor protein
FDGAGDLB_03757	CDS	837	menH_4	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FDGAGDLB_03758	CDS	1779	ggt_2	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
FDGAGDLB_03759	CDS	672	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
FDGAGDLB_03760	CDS	354			COG1393	putative protein
FDGAGDLB_03761	CDS	1014	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
FDGAGDLB_03762	CDS	2025	mnmC_2		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
FDGAGDLB_03763	CDS	1197	hcaT			putative 3-phenylpropionic acid transporter
FDGAGDLB_03764	CDS	858				hypothetical protein
FDGAGDLB_03765	CDS	1170				hypothetical protein
FDGAGDLB_03766	CDS	999	dppB_2		COG0601	Dipeptide transport system permease protein DppB
FDGAGDLB_03767	CDS	1935	agpA			Periplasmic alpha-galactoside-binding protein
FDGAGDLB_03768	CDS	1929	gsiA_3	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
FDGAGDLB_03769	CDS	624				hypothetical protein
FDGAGDLB_03770	CDS	759				hypothetical protein
FDGAGDLB_03771	CDS	1131	murG_2	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FDGAGDLB_03772	CDS	618				hypothetical protein
FDGAGDLB_03773	CDS	1074	mshA_12	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FDGAGDLB_03774	CDS	1281	mshA_13	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FDGAGDLB_03775	CDS	1203				hypothetical protein
FDGAGDLB_03776	CDS	1575		3.1.-.-	COG1236	Ribonuclease
FDGAGDLB_03777	CDS	1254	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
FDGAGDLB_03778	CDS	1800				hypothetical protein
FDGAGDLB_03779	CDS	1026	futA1_1			Iron uptake protein A1
FDGAGDLB_03780	CDS	1017	futA1_2			Iron uptake protein A1
FDGAGDLB_03781	CDS	834				hypothetical protein
FDGAGDLB_03782	CDS	144				hypothetical protein
FDGAGDLB_03783	CDS	1008				hypothetical protein
FDGAGDLB_03784	CDS	537				hypothetical protein
FDGAGDLB_03785	CDS	1206	ousV		COG4175	Glycine betaine/choline transport system ATP-binding protein OusV
FDGAGDLB_03786	CDS	1122	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
